TWEET	EMOJI	LANGUAGE
0		fr
1		fr
2		fr
3		fr
4		fr
5		fr
6	face with tears of joy	fr
7		fr
8		fr
9	face with tears of joy	fr
10		fr
11		fr
12		fr
13		fr
14		fr
15		fr
16		fr
17		fr
18		fr
19		fr
20	loudly crying face	fr
20	face with tears of joy	fr
21		fr
22		fr
23		fr
24	red heart	fr
24	red heart	fr
24	red heart	fr
25		fr
26		fr
27		fr
28		fr
29		fr
30		fr
31		fr
32		fr
33		fr
34		fr
35	loudly crying face	fr
35	loudly crying face	fr
36		fr
37		fr
38	loudly crying face	fr
38	loudly crying face	fr
39		fr
40	loudly crying face	fr
41		fr
42		fr
43		fr
44		fr
45		fr
46		fr
47		fr
48		fr
49	person facepalming	fr
49	male sign	fr
50	grinning face with sweat	fr
51		fr
52		fr
53		fr
54	loudly crying face	fr
55		fr
56		fr
57		fr
58	birthday cake	fr
58	balloon	fr
58	party popper	fr
58	wrapped gift	fr
59		fr
60		fr
61		fr
62		fr
63		fr
64		fr
65		fr
66		fr
67	smirking face	fr
68		fr
69		fr
70		fr
71		fr
72		fr
73		fr
74	unamused face	fr
75		fr
76	smiling face with heart-eyes	fr
76	smiling face with heart-eyes	fr
76	smiling face with heart-eyes	fr
76	smiling face with heart-eyes	fr
76	smiling face with heart-eyes	fr
76	smiling face with heart-eyes	fr
77		fr
78		fr
79		fr
80		fr
81		fr
82		fr
83		fr
84		fr
85		fr
86		fr
87	face with steam from nose	fr
88		fr
89		fr
90	dizzy face	fr
91		fr
92		fr
93		fr
94		fr
95		fr
96		fr
97		fr
98		fr
99		fr
100		fr
101	pouting face	fr
102		fr
103		fr
104		fr
105		fr
106		fr
107		fr
108		fr
109		fr
110	thumbs up	fr
111		fr
112	face blowing a kiss	fr
112	clapping hands	fr
112	clapping hands	fr
113		fr
114		fr
115		fr
116		fr
117		fr
118	grinning cat face	fr
118	zzz	fr
119		fr
120		fr
121		fr
122		fr
123		fr
124		fr
125		fr
126	loudly crying face	fr
127	thinking face	fr
128		fr
129		fr
130		fr
131		fr
132		fr
133	weary face	fr
133	weary face	fr
133	weary face	fr
133	weary face	fr
133	weary face	fr
134		fr
135	person facepalming	fr
135	female sign	fr
136	sparkles	fr
137		fr
138		fr
139		fr
140		fr
141		fr
142		fr
143		fr
144	loudly crying face	fr
144	loudly crying face	fr
145		fr
146		fr
147		fr
148		fr
149		fr
150		fr
151		fr
